sample_id,transect_name,site_name,depth,elevation,average_soil_relative_humidity,vegetation,percentcover
BAQ1552.1.1,Baquedano,BAQ1552,1,1552,15.75,no,0
BAQ2420.1.1,Baquedano,BAQ2420,1,2420,82.54,no,0
BAQ2420.1.2,Baquedano,BAQ2420,2,2420,82.54,no,0
BAQ2420.1.3,Baquedano,BAQ2420,3,2420,82.54,no,0
BAQ2420.2,Baquedano,BAQ2420,2,2420,82.54,no,0
BAQ2420.3,Baquedano,BAQ2420,2,2420,82.54,no,0
BAQ2462.1,Baquedano,BAQ2462,2,2462,69.08,no,0
BAQ2462.2,Baquedano,BAQ2462,2,2462,69.08,no,0
BAQ2462.3,Baquedano,BAQ2462,2,2462,69.08,no,0
BAQ2687.1,Baquedano,BAQ2687,2,2687,73.21,yes,0.1
BAQ2687.2,Baquedano,BAQ2687,2,2687,73.21,yes,0.1
BAQ2687.3,Baquedano,BAQ2687,2,2687,73.21,yes,0.1
BAQ2838.1,Baquedano,BAQ2838,2,2838,44.74,no,0
BAQ2838.2,Baquedano,BAQ2838,2,2838,44.74,no,0
BAQ2838.3,Baquedano,BAQ2838,2,2838,44.74,no,0
BAQ3473.1,Baquedano,BAQ3473,2,3473,82.05,yes,1.2
BAQ3473.2,Baquedano,BAQ3473,2,3473,82.05,yes,1.2
BAQ3473.3,Baquedano,BAQ3473,2,3473,82.05,yes,1.2
BAQ4166.1.1,Baquedano,BAQ4166,1,4166,100,yes,7.1
BAQ4166.1.2,Baquedano,BAQ4166,2,4166,100,yes,7.1
BAQ4166.1.3,Baquedano,BAQ4166,3,4166,100,yes,7.1
BAQ4166.2,Baquedano,BAQ4166,2,4166,100,yes,7.1
BAQ4166.3,Baquedano,BAQ4166,2,4166,100,yes,7.1
BAQ4697.1,Baquedano,BAQ4697,2,4697,,yes,0.1
BAQ4697.2,Baquedano,BAQ4697,2,4697,,yes,0.1
BAQ4697.3,Baquedano,BAQ4697,2,4697,,yes,0.1
YUN1005.1.1,Yungay,YUN1005,1,1005,20.7,no,0
YUN1005.3,Yungay,YUN1005,2,1005,20.7,no,0
YUN1242.1,Yungay,YUN1242,2,1242,20.9,no,0
YUN1242.2,Yungay,YUN1242,2,1242,20.9,no,0
YUN1242.3,Yungay,YUN1242,2,1242,20.9,no,0
YUN1609.1,Yungay,YUN1609,2,1609,17.18,no,0
YUN2029.1,Yungay,YUN2029,2,2029,28.79,no,0
YUN2029.2,Yungay,YUN2029,2,2029,28.79,no,0
YUN2029.3,Yungay,YUN2029,2,2029,28.79,no,0
YUN3008.1.3,Yungay,YUN3008,3,3008,70.89,no,0
YUN3008.3,Yungay,YUN3008,2,3008,70.89,no,0
YUN3153.2,Yungay,YUN3153,2,3153,59.69,no,0
YUN3153.3,Yungay,YUN3153,2,3153,59.69,no,0
YUN3184.2,Yungay,YUN3184,2,3184,26.97,no,0
YUN3259.1.1,Yungay,YUN3259,1,3259,93.57,yes,2.4
YUN3259.1.2,Yungay,YUN3259,2,3259,93.57,yes,2.4
YUN3259.1.3,Yungay,YUN3259,3,3259,93.57,yes,2.4
YUN3259.2,Yungay,YUN3259,2,3259,93.57,yes,2.4
YUN3259.3,Yungay,YUN3259,2,3259,93.57,yes,2.4
YUN3346.1,Yungay,YUN3346,2,3346,87.32,yes,0.01
YUN3346.2,Yungay,YUN3346,2,3346,87.32,yes,0.01
YUN3346.3,Yungay,YUN3346,2,3346,87.32,yes,0.01
YUN3428.1,Yungay,YUN3428,2,3428,99.99,yes,8.8
YUN3428.2,Yungay,YUN3428,2,3428,99.99,yes,8.8
YUN3428.3,Yungay,YUN3428,2,3428,99.99,yes,8.8
YUN3533.1.1,Yungay,YUN3533,1,3533,100,yes,8.6
YUN3533.1.2,Yungay,YUN3533,2,3533,100,yes,8.6
YUN3533.1.3,Yungay,YUN3533,3,3533,100,yes,8.6
YUN3533.2,Yungay,YUN3533,2,3533,100,yes,8.6
YUN3533.3,Yungay,YUN3533,2,3533,100,yes,8.6
YUN3856.1.1,Yungay,YUN3856,1,3856,99.44,yes,3.1
YUN3856.1.2,Yungay,YUN3856,2,3856,99.44,yes,3.1
YUN3856.1.3,Yungay,YUN3856,3,3856,99.44,yes,3.1
YUN3856.2,Yungay,YUN3856,2,3856,99.44,yes,3.1
YUN3856.3,Yungay,YUN3856,2,3856,99.44,yes,3.1
